id,time,outerdevice_id,outerdevice_parameter_id,value,create_at,create_user,elec
41437691,9:00:00 PM,1370,21,1850837.25,0.024445602,DeviceDataService,178.37
41437884,10:00:00 PM,1370,21,1851008.75,0.024445602,DeviceDataService,171.5
41438077,11:00:00 PM,1370,21,1851149.62,0.024445602,DeviceDataService,140.87
41438276,12:00:00 AM,1370,21,1851244.38,0.02452662,DeviceDataService,94.76
41438469,1:00:00 AM,1370,21,1851338.75,0.02452662,DeviceDataService,94.37
41438662,2:00:00 AM,1370,21,1851431.88,0.02452662,DeviceDataService,93.13
41438855,3:00:00 AM,1370,21,1851524.88,0.02452662,DeviceDataService,93
41439048,4:00:00 AM,1370,21,1851614.5,0.02452662,DeviceDataService,89.62
41439241,5:00:00 AM,1370,21,1851702,0.02452662,DeviceDataService,87.5
41439434,6:00:00 AM,1370,21,1851792.75,0.02452662,DeviceDataService,90.75
41439627,7:00:00 AM,1370,21,1851888,0.02452662,DeviceDataService,95.25
41439820,8:00:00 AM,1370,21,1851983.62,0.02452662,DeviceDataService,95.62
41440013,9:00:00 AM,1370,21,1852088.88,0.02452662,DeviceDataService,105.26
41440206,10:00:00 AM,1370,21,1852206,0.02452662,DeviceDataService,117.12
41440399,11:00:00 AM,1370,21,1852330.38,0.02452662,DeviceDataService,124.38
41440592,12:00:00 PM,1370,21,1852455.88,0.02452662,DeviceDataService,125.5
41440785,1:00:00 PM,1370,21,1852583.12,0.02452662,DeviceDataService,127.24
41440978,2:00:00 PM,1370,21,1852713.25,0.02452662,DeviceDataService,130.13
41441171,3:00:00 PM,1370,21,1852843.25,0.02452662,DeviceDataService,130
41441364,4:00:00 PM,1370,21,1852975.62,0.02452662,DeviceDataService,132.37
41441557,5:00:00 PM,1370,21,1853105.12,0.02452662,DeviceDataService,129.5
41441750,6:00:00 PM,1370,21,1853232.38,0.02452662,DeviceDataService,127.26
41441943,7:00:00 PM,1370,21,1853360.38,0.02452662,DeviceDataService,128
41442136,8:00:00 PM,1370,21,1853475.62,0.02452662,DeviceDataService,115.24
41442329,9:00:00 PM,1370,21,1853588.75,0.02452662,DeviceDataService,113.13
41442522,10:00:00 PM,1370,21,1853701.25,0.02452662,DeviceDataService,112.5
41442715,11:00:00 PM,1370,21,1853799.88,0.02452662,DeviceDataService,98.63
41442889,12:00:00 AM,1370,21,1853890.88,0.024601852,DeviceDataService,91
41443082,1:00:00 AM,1370,21,1853980.75,0.024601852,DeviceDataService,89.87
41443275,2:00:00 AM,1370,21,1854070,0.024601852,DeviceDataService,89.25
41443468,3:00:00 AM,1370,21,1854158,0.024601852,DeviceDataService,88
41443661,4:00:00 AM,1370,21,1854247.5,0.024601852,DeviceDataService,89.5
41443854,5:00:00 AM,1370,21,1854338.38,0.024601852,DeviceDataService,90.88
41444047,6:00:00 AM,1370,21,1854428.38,0.024601852,DeviceDataService,90
41444240,7:00:00 AM,1370,21,1854525.62,0.024601852,DeviceDataService,97.24
41444433,8:00:00 AM,1370,21,1854626,0.024601852,DeviceDataService,100.38
41444626,9:00:00 AM,1370,21,1854730.38,0.024601852,DeviceDataService,104.38
41444819,10:00:00 AM,1370,21,1854838,0.024601852,DeviceDataService,107.62
41445012,11:00:00 AM,1370,21,1854952.5,0.024601852,DeviceDataService,114.5
41445205,12:00:00 PM,1370,21,1855070.88,0.024601852,DeviceDataService,118.38
41445398,1:00:00 PM,1370,21,1855192.12,0.024601852,DeviceDataService,121.24
